ID,Title,Salary,Rating,Company,Location,Headquarters,Size,ownership,Industry,Sector,Revenue,min,max
17,Clinical Data Analyst,$37K-$66K (Glassdoor est.),3.8,NYSTEC,"New York, NY","Rome, NY",51 to 200 employees,Nonprofit Organization,Consulting,Business Services,$25 to $50 million (USD),37000.0,66000
18,DATA PROGRAMMER/ANALYST,$37K-$66K (Glassdoor est.),3.9,"Education Development Center, Inc.","New York, NY","Waltham, MA",501 to 1000 employees,Nonprofit Organization,Research & Development,Business Services,$100 to $500 million (USD),37000.0,66000
19,Data Analyst,$37K-$66K (Glassdoor est.),4.9,Teachers Pay Teachers,"New York, NY","New York, NY",51 to 200 employees,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,37000.0,66000
20,"Product Analyst, Data Science",$37K-$66K (Glassdoor est.),4.4,Google,"New York, NY","Mountain View, CA",10000+ employees,Company - Public,Internet,Information Technology,$10+ billion (USD),37000.0,66000
22,Data Analyst - Intex Developer,$37K-$66K (Glassdoor est.),3.3,Macquarie Group,"New York, NY","Sydney, Australia",10000+ employees,Company - Public,Investment Banking & Asset Management,Finance,$5 to $10 billion (USD),37000.0,66000
23,Data Analyst,$37K-$66K (Glassdoor est.),3.5,Andiamo,"New York, NY","Warren, MI",201 to 500 employees,Company - Private,Casual Restaurants,"Restaurants, Bars & Food Services",$1 to $5 million (USD),37000.0,66000
25,Data Analyst,$37K-$66K (Glassdoor est.),4.0,Hearst Communications,"New York, NY","San Francisco, CA",1 to 50 employees,Company - Private,Advertising & Marketing,Business Services,Less than $1 million (USD),37000.0,66000
26,Data + Business Intelligence Analyst,$37K-$66K (Glassdoor est.),5.0,Duolingo,"New York, NY","Pittsburgh, PA",201 to 500 employees,Company - Private,Internet,Information Technology,$10 to $25 million (USD),37000.0,66000
27,"Data Analyst, Product",$37K-$66K (Glassdoor est.),4.8,Ro,"New York, NY","New York, NY",51 to 200 employees,Company - Private,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,37000.0,66000
28,Data Analyst Entry Level,$37K-$66K (Glassdoor est.),3.7,Endai,"New York, NY","New York, NY",1 to 50 employees,Company - Private,Advertising & Marketing,Business Services,$1 to $5 million (USD),37000.0,66000
29,Data Analyst,$37K-$66K (Glassdoor est.),4.7,BlueLabs,"New York, NY","Washington, DC",1 to 50 employees,Company - Private,Research & Development,Business Services,Unknown / Non-Applicable,37000.0,66000
30,Data Analyst,$46K-$87K (Glassdoor est.),3.6,Revel,"Brooklyn, NY","Seattle, WA",51 to 200 employees,Company - Private,Consulting,Business Services,$25 to $50 million (USD),46000.0,87000
31,Data Analyst,$46K-$87K (Glassdoor est.),3.6,NALLAS CORPORATION,"Jersey City, NJ","Newtown, PA",1 to 50 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology,$1 to $5 million (USD),46000.0,87000
33,"Data Science Analyst, Capital Markets",$46K-$87K (Glassdoor est.),3.2,SoFi,"New York, NY","San Francisco, CA",1001 to 5000 employees,Company - Private,Lending,Finance,Unknown / Non-Applicable,46000.0,87000
35,Analyst/Associate Global Markets Credit Data Analyst,$46K-$87K (Glassdoor est.),3.7,Bank of America,"New York, NY","Charlotte, NC",10000+ employees,Company - Public,Banks & Credit Unions,Finance,$10+ billion (USD),46000.0,87000
37,Data Analyst with Excel/DAX/ PowerBI experience- Fulltime,$46K-$87K (Glassdoor est.),3.6,Nutech Information Systems,"New York, NY","Westmont, IL",1 to 50 employees,Company - Private,Computer Hardware & Software,Information Technology,Less than $1 million (USD),46000.0,87000
38,Data Science Analyst/Engineer,$46K-$87K (Glassdoor est.),4.0,NYU Langone Health,"New York, NY","New York, NY",10000+ employees,Hospital,Health Care Services & Hospitals,Health Care,$5 to $10 billion (USD),46000.0,87000
39,Data Analyst,$46K-$87K (Glassdoor est.),4.6,The Trevor Project,"New York, NY","West Hollywood, CA",51 to 200 employees,Nonprofit Organization,Social Assistance,Non-Profit,$10 to $25 million (USD),46000.0,87000
43,Data Analyst -1+ year Contract - NYC,$46K-$87K (Glassdoor est.),4.0,Two95 International Inc.,"New York, NY","Cherry Hill, NJ",1 to 50 employees,Company - Private,Staffing & Outsourcing,Business Services,$1 to $5 million (USD),46000.0,87000
44,Data Analyst,$46K-$87K (Glassdoor est.),3.0,Vettery,"New York, NY","New York, NY",201 to 500 employees,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,46000.0,87000
45,Data Analyst,$46K-$87K (Glassdoor est.),2.9,"Nesco Resource, LLC","New York, NY","Cleveland, OH",1001 to 5000 employees,Company - Private,Staffing & Outsourcing,Business Services,$500 million to $1 billion (USD),46000.0,87000
46,Advertising Data Analyst,$46K-$87K (Glassdoor est.),4.0,Hearst Communications,"New York, NY","San Francisco, CA",1 to 50 employees,Company - Private,Advertising & Marketing,Business Services,Less than $1 million (USD),46000.0,87000
47,Data Analyst,$46K-$87K (Glassdoor est.),3.6,MediaMath,"New York, NY","New York, NY",501 to 1000 employees,Company - Private,Advertising & Marketing,Business Services,$100 to $500 million (USD),46000.0,87000
48,Market Data Reporting Analyst,$46K-$87K (Glassdoor est.),4.9,Jordan & Jordan,"New York, NY","New York, NY",1 to 50 employees,Company - Private,Brokerage Services,Finance,Unknown / Non-Applicable,46000.0,87000
49,"Senior Analyst, Data Science",$46K-$87K (Glassdoor est.),3.9,Roku,"New York, NY","San Jose, CA",1001 to 5000 employees,Company - Public,IT Services,Information Technology,$500 million to $1 billion (USD),46000.0,87000
50,"Senior Data Analyst, Disney+",$46K-$87K (Glassdoor est.),4.0,Walt Disney Co.,"New York, NY","Burbank, CA",10000+ employees,Company - Public,Motion Picture Production & Distribution,Media,$10+ billion (USD),46000.0,87000
52,Business Data Analyst,$46K-$87K (Glassdoor est.),3.7,Xoriant Corporation,"Jersey City, NJ","Sunnyvale, CA",1001 to 5000 employees,Company - Private,IT Services,Information Technology,$100 to $500 million (USD),46000.0,87000
53,Senior Data Analyst,$46K-$87K (Glassdoor est.),3.6,Gemini,"New York, NY","New York, NY",51 to 200 employees,Company - Private,Brokerage Services,Finance,Unknown / Non-Applicable,46000.0,87000
54,Data Scientist / Big Data Analytics Analyst,$46K-$87K (Glassdoor est.),3.6,"TSR, Inc.","Weehawken, NJ","Hauppauge, NY",201 to 500 employees,Company - Public,Staffing & Outsourcing,Business Services,$50 to $100 million (USD),46000.0,87000
56,"Principal Data Analyst, LATAM - Disney Streaming Services",$46K-$87K (Glassdoor est.),4.0,Walt Disney Co.,"New York, NY","Burbank, CA",10000+ employees,Company - Public,Motion Picture Production & Distribution,Media,$10+ billion (USD),46000.0,87000
57,Data Analyst II,$46K-$87K (Glassdoor est.),3.2,Fragomen Worldwide,"New York, NY","New York, NY",1001 to 5000 employees,Company - Private,Legal,Accounting & Legal,$500 million to $1 billion (USD),46000.0,87000
58,"Data Analyst - Environmental, Social, and Governance",$46K-$87K (Glassdoor est.),3.8,Bloomberg,"New York, NY","New York, NY",10000+ employees,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,46000.0,87000
59,Data Analyst,$46K-$87K (Glassdoor est.),3.9,Real Capital Analytics,"New York, NY","New York, NY",51 to 200 employees,Company - Private,Real Estate,Real Estate,$25 to $50 million (USD),46000.0,87000
60,"Data Analyst, Revenue Analytics",$51K-$88K (Glassdoor est.),4.8,Ro,"New York, NY","New York, NY",51 to 200 employees,Company - Private,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,51000.0,88000
61,Data Analyst - Data Acquisition / Data Lineage,$51K-$88K (Glassdoor est.),3.6,Perficient,"New York, NY","Saint Louis, MO",1001 to 5000 employees,Company - Public,IT Services,Information Technology,$500 million to $1 billion (USD),51000.0,88000
62,Data Analyst - Data Scanning utilizing Rochade,$51K-$88K (Glassdoor est.),3.6,Perficient,"New York, NY","Saint Louis, MO",1001 to 5000 employees,Company - Public,IT Services,Information Technology,$500 million to $1 billion (USD),51000.0,88000
63,Data Analyst - Stitching,$51K-$88K (Glassdoor est.),3.6,Perficient,"New York, NY","Saint Louis, MO",1001 to 5000 employees,Company - Public,IT Services,Information Technology,$500 million to $1 billion (USD),51000.0,88000
64,Junior Data Analyst,$51K-$88K (Glassdoor est.),4.1,Kforce,"New York, NY","Tampa, FL",10000+ employees,Company - Public,Staffing & Outsourcing,Business Services,$1 to $2 billion (USD),51000.0,88000
65,"Data Analyst, Retail Media",$51K-$88K (Glassdoor est.),3.9,Criteo,"New York, NY","Paris, France",1001 to 5000 employees,Company - Public,Internet,Information Technology,$2 to $5 billion (USD),51000.0,88000
66,Data Analyst,$51K-$88K (Glassdoor est.),3.0,Royal Communications,"New York, NY","New York, NY",1 to 50 employees,Company - Private,IT Services,Information Technology,$1 to $5 million (USD),51000.0,88000
67,Portfolio Data Analyst,$51K-$88K (Glassdoor est.),3.7,Neuberger Berman,"New York, NY","New York, NY",1001 to 5000 employees,Company - Private,Investment Banking & Asset Management,Finance,$500 million to $1 billion (USD),51000.0,88000
69,Data/Reporting Analyst,$51K-$88K (Glassdoor est.),3.9,Diverse Lynx,"New York, NY","Princeton, NJ",501 to 1000 employees,Company - Private,IT Services,Information Technology,$100 to $500 million (USD),51000.0,88000
70,Data Analyst 2,$51K-$88K (Glassdoor est.),3.7,eTeam Inc.,"New York, NY","South Plainfield, NJ",51 to 200 employees,Company - Private,Staffing & Outsourcing,Business Services,$50 to $100 million (USD),51000.0,88000
73,Data/Information Mgt Analyst,$51K-$88K (Glassdoor est.),3.7,Citi,"New York, NY","New York, NY",10000+ employees,Company - Public,Investment Banking & Asset Management,Finance,$10+ billion (USD),51000.0,88000
74,Business Data Analyst,$51K-$88K (Glassdoor est.),3.6,Axelon Services Corporation,"New York, NY","New York, NY",501 to 1000 employees,Company - Private,Staffing & Outsourcing,Business Services,$100 to $500 million (USD),51000.0,88000
75,Information Systems Officer (Data Analyst),$51K-$88K (Glassdoor est.),4.1,United Nations,"New York, NY","New York, NY",10000+ employees,Government,Federal Agencies,Government,Unknown / Non-Applicable,51000.0,88000
76,Media Science Big Data Analyst,$51K-$88K (Glassdoor est.),3.5,"Discovery Communications, Inc.","New York, NY","New York, NY",10000+ employees,Company - Public,TV Broadcast & Cable Networks,Media,$5 to $10 billion (USD),51000.0,88000
77,Data Analyst,$51K-$88K (Glassdoor est.),3.7,Randstad,"Jersey City, NJ","Atlanta, GA",1001 to 5000 employees,Subsidiary or Business Segment,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable,51000.0,88000
79,Data analyst with Python,$51K-$88K (Glassdoor est.),4.0,Two95 International Inc.,"New York, NY","Cherry Hill, NJ",1 to 50 employees,Company - Private,Staffing & Outsourcing,Business Services,$1 to $5 million (USD),51000.0,88000
81,Data Analyst,$51K-$88K (Glassdoor est.),5.0,"EDO, Inc.","New York, NY","Los Angeles, CA",1 to 50 employees,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,51000.0,88000
82,"Healthcare Data Analyst, Qsight",$51K-$88K (Glassdoor est.),3.3,Guidepoint,"New York, NY","New York, NY",501 to 1000 employees,Company - Private,Research & Development,Business Services,Unknown / Non-Applicable,51000.0,88000
83,BA/Data Analyst,$51K-$88K (Glassdoor est.),4.1,Mitchell Martin,"New York, NY","New York, NY",501 to 1000 employees,Company - Private,Staffing & Outsourcing,Business Services,$100 to $500 million (USD),51000.0,88000
84,Data Analyst Python,$51K-$88K (Glassdoor est.),4.0,Lorven Technologies Inc,"New York, NY","Plainsboro, NJ",1 to 50 employees,Company - Private,Accounting,Accounting & Legal,Less than $1 million (USD),51000.0,88000
86,Data Analyst-BA,$51K-$88K (Glassdoor est.),1.0,Sphinix Network Solutions Inc.,"New York, NY","New York, NY",1 to 50 employees,Company - Private,IT Services,Information Technology,Less than $1 million (USD),51000.0,88000
87,Data Analytics Solutions Analyst,$51K-$88K (Glassdoor est.),3.1,Praescient Analytics,"New York, NY","Alexandria, VA",51 to 200 employees,Company - Private,Consulting,Business Services,$10 to $25 million (USD),51000.0,88000
88,Quantitative Data Analyst,$51K-$88K (Glassdoor est.),4.5,Global Atlantic Financial Group,"New York, NY","New York, NY",1001 to 5000 employees,Company - Private,Insurance Carriers,Insurance,Unknown / Non-Applicable,51000.0,88000
89,Data Analyst,$51K-$88K (Glassdoor est.),3.4,FINRA,"New York, NY","Washington, DC",1001 to 5000 employees,Nonprofit Organization,Brokerage Services,Finance,$500 million to $1 billion (USD),51000.0,88000
91,"Descriptive Analytics Data Analyst, IB",$51K-$87K (Glassdoor est.),3.6,Jefferies,"New York, NY","New York, NY",1001 to 5000 employees,Company - Public,Investment Banking & Asset Management,Finance,$2 to $5 billion (USD),51000.0,87000
92,Data Analyst,$51K-$87K (Glassdoor est.),4.1,RGP,"New York, NY","Irvine, CA",1001 to 5000 employees,Company - Public,Consulting,Business Services,$500 million to $1 billion (USD),51000.0,87000
93,Data Analyst,$51K-$87K (Glassdoor est.),4.4,Tachyon Technologies,"New York, NY","Irving, TX",201 to 500 employees,Company - Private,IT Services,Information Technology,$10 to $25 million (USD),51000.0,87000
94,Data Analyst,$51K-$87K (Glassdoor est.),3.8,Apex Systems,"Jersey City, NJ","Glen Allen, VA",1001 to 5000 employees,Subsidiary or Business Segment,Staffing & Outsourcing,Business Services,$2 to $5 billion (USD),51000.0,87000
95,Data Analyst,$51K-$87K (Glassdoor est.),3.2,Hagerty Consulting,"New York, NY","Evanston, IL",1 to 50 employees,Company - Private,Consulting,Business Services,$1 to $5 million (USD),51000.0,87000
97,Business Data Analyst,$51K-$87K (Glassdoor est.),3.8,Cortex consultants LLC,"New York, NY","North Brunswick, NJ",501 to 1000 employees,Company - Private,Consulting,Business Services,Unknown / Non-Applicable,51000.0,87000
98,Data Analyst,$51K-$87K (Glassdoor est.),4.7,Medly Pharmacy,"Brooklyn, NY","Brooklyn, NY",201 to 500 employees,Unknown,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,51000.0,87000
100,Supply Chain Data Analyst,$51K-$87K (Glassdoor est.),3.8,Peloton Interactive,"New York, NY","New York, NY",1001 to 5000 employees,Company - Public,"Health, Beauty, & Fitness",Consumer Services,Unknown / Non-Applicable,51000.0,87000
101,Data Analyst - IBM Tool Set,$51K-$87K (Glassdoor est.),4.6,ektello,"New York, NY","Troy, MI",201 to 500 employees,Company - Private,Staffing & Outsourcing,Business Services,$10 to $25 million (USD),51000.0,87000
102,Analyst-Data Integrity,$51K-$87K (Glassdoor est.),3.0,"Premier, Inc.","New York, NY","Charlotte, NC",1001 to 5000 employees,Company - Public,Health Care Services & Hospitals,Health Care,$1 to $2 billion (USD),51000.0,87000
103,"Reference Data Operations Analyst - Index Instrument, Associate",$51K-$87K (Glassdoor est.),3.9,JPMorgan Chase,"New York, NY","New York, NY",10000+ employees,Company - Public,Investment Banking & Asset Management,Finance,$10+ billion (USD),51000.0,87000
104,Data Analyst,$51K-$87K (Glassdoor est.),3.0,Fund for Public Health,"Long Island City, NY","New York, NY",201 to 500 employees,Nonprofit Organization,Social Assistance,Non-Profit,$25 to $50 million (USD),51000.0,87000
106,Data/Systems Analyst,$51K-$87K (Glassdoor est.),5.0,Crossfire Consulting Corporation,"New York, NY","Yorktown Heights, NY",51 to 200 employees,Company - Private,Consulting,Business Services,$5 to $10 million (USD),51000.0,87000
107,Data Analyst,$51K-$87K (Glassdoor est.),4.0,Reliable Software Resources,"New York, NY","Northville, MI",501 to 1000 employees,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),51000.0,87000
110,Data Analyst Intern,$51K-$87K (Glassdoor est.),3.6,My Job Tank,"Jersey City, NJ","New York, NY",51 to 200 employees,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,51000.0,87000
111,"Data Analytics Analyst or Associate, Cowen Sustainable Investments",$51K-$87K (Glassdoor est.),3.7,Cowen,"New York, NY","New York, NY",501 to 1000 employees,Company - Public,Investment Banking & Asset Management,Finance,$100 to $500 million (USD),51000.0,87000
112,Data Reporting Analyst,$51K-$87K (Glassdoor est.),3.5,Robert Half,"New York, NY","Menlo Park, CA",10000+ employees,Company - Public,Staffing & Outsourcing,Business Services,$2 to $5 billion (USD),51000.0,87000
113,Data Analyst,$51K-$87K (Glassdoor est.),2.8,FJA-US Inc.,"New York, NY","New York, NY",51 to 200 employees,Subsidiary or Business Segment,Computer Hardware & Software,Information Technology,$25 to $50 million (USD),51000.0,87000
114,Data Analyst,$51K-$87K (Glassdoor est.),5.0,Averity,"New York, NY","New York, NY",1 to 50 employees,Company - Private,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable,51000.0,87000
115,Data Analyst,$51K-$87K (Glassdoor est.),3.8,Capgemini,"Jersey City, NJ","Paris, France",10000+ employees,Company - Public,Enterprise Software & Network Solutions,Information Technology,$10+ billion (USD),51000.0,87000
116,ERP Data Analyst,$51K-$87K (Glassdoor est.),3.4,Wildlife Conservation Society,"New York, NY","Bronx, NY",1001 to 5000 employees,Nonprofit Organization,Social Assistance,Non-Profit,$100 to $500 million (USD),51000.0,87000
117,Data Analyst,$51K-$87K (Glassdoor est.),3.6,Asembia,"Florham Park, NJ","Florham Park, NJ",501 to 1000 employees,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$5 to $10 million (USD),51000.0,87000
119,PBM Data Analyst,$51K-$87K (Glassdoor est.),3.2,1199SEIU Funds,"New York, NY","New York, NY",1001 to 5000 employees,Nonprofit Organization,Insurance Carriers,Insurance,$100 to $500 million (USD),51000.0,87000
120,Data Analyst (Temporary Assignment),$59K-$85K (Glassdoor est.),3.8,Nutrafol,"New York, NY","New York, NY",51 to 200 employees,Other Organization,"Health, Beauty, & Fitness",Consumer Services,Unknown / Non-Applicable,59000.0,85000
121,Data Analyst,$59K-$85K (Glassdoor est.),3.5,New York Life Insurance Co,"New York, NY","New York, NY",10000+ employees,Company - Private,Insurance Agencies & Brokerages,Insurance,$10+ billion (USD),59000.0,85000
122,Market Data Analyst,$59K-$85K (Glassdoor est.),3.5,"EDP World, Inc.","New York, NY","New York, NY",1 to 50 employees,Company - Private,Staffing & Outsourcing,Business Services,$1 to $5 million (USD),59000.0,85000
124,Junior Data Analyst,$59K-$85K (Glassdoor est.),5.0,"Staffigo Technical Services, LLC","New York, NY","Woodridge, IL",51 to 200 employees,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),59000.0,85000
125,Microsoft Dynamics CRM Data Analyst,$59K-$85K (Glassdoor est.),3.7,IBM,"New York, NY","Armonk, NY",10000+ employees,Company - Public,IT Services,Information Technology,$10+ billion (USD),59000.0,85000
126,Practice Analyst Data,$59K-$85K (Glassdoor est.),4.0,Northwell Health,"Manhasset, NY","Lake Success, NY",10000+ employees,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$10+ billion (USD),59000.0,85000
127,Buyside - Data Scientist/Research Analyst,$59K-$85K (Glassdoor est.),3.3,Huxley,"New York, NY","London, United Kingdom",201 to 500 employees,Company - Private,Staffing & Outsourcing,Business Services,$25 to $50 million (USD),59000.0,85000
128,Data Analyst - Healthcare Provider Networks and Formularies,$59K-$85K (Glassdoor est.),2.9,Vericred,"New York, NY","New York, NY",1 to 50 employees,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,59000.0,85000
129,Electronic Trading Data Analyst,$59K-$85K (Glassdoor est.),3.6,Scotiabank,"New York, NY","Toronto, Canada",10000+ employees,Company - Public,Investment Banking & Asset Management,Finance,$10+ billion (USD),59000.0,85000
130,"Data Analyst, Center for Developing Brain",$59K-$85K (Glassdoor est.),3.2,Child Mind Institute,"New York, NY","New York, NY",201 to 500 employees,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$25 to $50 million (USD),59000.0,85000
131,Data Processing & Performance Analyst,$59K-$85K (Glassdoor est.),3.1,Balance Innovations,"New York, NY","Lenexa, KS",51 to 200 employees,Company - Private,Computer Hardware & Software,Information Technology,$1 to $5 million (USD),59000.0,85000
132,Business Analyst - Data Analyst,$59K-$85K (Glassdoor est.),3.4,Asset Staffing,"Newark, NJ","New York, NY",201 to 500 employees,Contract,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable,59000.0,85000
133,Data Analyst with Rochade,$59K-$85K (Glassdoor est.),4.0,Reliable Software Resources,"New York, NY","Northville, MI",501 to 1000 employees,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),59000.0,85000
134,Advertising Data Analyst,$59K-$85K (Glassdoor est.),4.3,"Hearst Television, Inc","New York, NY","Cincinnati, OH",51 to 200 employees,Company - Private,TV Broadcast & Cable Networks,Media,$5 to $10 million (USD),59000.0,85000
135,Product Analyst - Data,$59K-$85K (Glassdoor est.),2.7,William Hill US,"Jersey City, NJ","London, United Kingdom",10000+ employees,Company - Public,Gambling,"Arts, Entertainment & Recreation",$2 to $5 billion (USD),59000.0,85000
136,Senior Data Analyst,$59K-$85K (Glassdoor est.),4.1,Rockstar Games,"New York, NY","New York, NY",1001 to 5000 employees,Subsidiary or Business Segment,Video Games,Media,$10 to $25 million (USD),59000.0,85000
138,Market Research Data Analyst - Physician Technology,$59K-$85K (Glassdoor est.),3.1,Decision Resources Group,"New York, NY","Burlington, MA",1001 to 5000 employees,Subsidiary or Business Segment,IT Services,Information Technology,$100 to $500 million (USD),59000.0,85000
140,Look ML Data Analyst,$59K-$85K (Glassdoor est.),2.9,"NTT DATA, Inc.","New York, NY","Singapore, Singapore",201 to 500 employees,Company - Private,Accounting,Accounting & Legal,Unknown / Non-Applicable,59000.0,85000
141,Data Collection Analyst,$59K-$85K (Glassdoor est.),3.9,Columbia University,"New York, NY","New York, NY",10000+ employees,College / University,Colleges & Universities,Education,$2 to $5 billion (USD),59000.0,85000
142,Data Analyst,$59K-$85K (Glassdoor est.),4.2,Precision technologies corp,"New York, NY","New Brunswick, NJ",201 to 500 employees,Company - Private,IT Services,Information Technology,$10 to $25 million (USD),59000.0,85000
143,DATA ENTRY/ BILLING ANALYST,$59K-$85K (Glassdoor est.),3.9,Cactus Holdings,"Queens Village, NY","Mumbai, India",1001 to 5000 employees,Company - Private,Research & Development,Business Services,Unknown / Non-Applicable,59000.0,85000
144,Student Persistence Initiative Data Analyst/Scientist,$59K-$85K (Glassdoor est.),4.2,Cuny Research Foundation,"New York, NY","New York, NY",10000+ employees,Nonprofit Organization,Colleges & Universities,Education,$100 to $500 million (USD),59000.0,85000
146,Data Governance Analyst,$59K-$85K (Glassdoor est.),5.0,Crossfire Consulting Corporation,"New York, NY","Yorktown Heights, NY",51 to 200 employees,Company - Private,Consulting,Business Services,$5 to $10 million (USD),59000.0,85000
147,Sr. Business Intelligence Engineer / Data Analyst,$59K-$85K (Glassdoor est.),3.9,Amazon,"New York, NY","Seattle, WA",10000+ employees,Company - Public,Internet,Information Technology,$10+ billion (USD),59000.0,85000
149,Data Analyst,$59K-$85K (Glassdoor est.),2.9,"NTT DATA, Inc.","New York, NY","Singapore, Singapore",201 to 500 employees,Company - Private,Accounting,Accounting & Legal,Unknown / Non-Applicable,59000.0,85000
150,Data Analyst,$43K-$76K (Glassdoor est.),4.0,NYU Langone Health,"New York, NY","New York, NY",10000+ employees,Hospital,Health Care Services & Hospitals,Health Care,$5 to $10 billion (USD),43000.0,76000
151,Healthcare Data/Reporting Analyst,$43K-$76K (Glassdoor est.),3.6,HOMETEAM,"New York, NY","New York, NY",51 to 200 employees,Company - Private,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,43000.0,76000
152,Data Analyst I - Geriatrics and Palliative Care,$43K-$76K (Glassdoor est.),3.4,Mount Sinai Health System,"New York, NY","New York, NY",10000+ employees,Hospital,Health Care Services & Hospitals,Health Care,$1 to $2 billion (USD),43000.0,76000
154,Data Analyst/Rochade,$43K-$76K (Glassdoor est.),3.3,"Halcyon Solutions, Inc.","New York, NY","Dublin, OH",51 to 200 employees,Company - Private,IT Services,Information Technology,$10 to $25 million (USD),43000.0,76000
156,Data Analyst,$43K-$76K (Glassdoor est.),3.8,COUNCIL ON ACCREDITATION,"New York, NY","New York, NY",51 to 200 employees,Nonprofit Organization,Social Assistance,Non-Profit,$10 to $25 million (USD),43000.0,76000
