Location,Lat,Lot
"Radnor, PA",40.0420325,-75.3535975
"West Conshohocken, PA",40.0698321,-75.3162951
"Wayne, PA",40.0440149,-75.3878616
"Bensalem, PA",40.10276155,-74.9321395088034
"Horsham, PA",40.1842455,-75.13905239078957
"Exton, PA",40.02985865,-75.62897763847262
"Allegheny West, PA",40.0084457,-75.1779559
"Paoli, PA",40.040739,-75.49284449481362
"Doylestown, PA",40.3100446,-75.1304588
"Chester Township, PA",39.8514464,-75.40286684006416
"Conshohocken, PA",40.0792766,-75.3015714
"West Chester, PA",39.9597213,-75.6059638
"Mount Laurel, NJ",39.934002,-74.8909988
"Ridley Park, PA",39.8812236,-75.3237993
"Berwyn, PA",40.0448306,-75.4388053
"Newtown Square, PA",39.9868117,-75.4007633
"Boothwyn, PA",39.8309418,-75.4396925
"West Point, PA",34.2387103,-86.9591727
"Marlton, NJ",39.9005585,-74.93389105589023
"Moorestown, NJ",39.9670569,-74.9426677
"San Antonio, TX",29.4246002,-98.4951405
"Lackland AFB, TX",29.3862862,-98.60090009131218
"San Diego, CA",32.7174202,-117.1627728
"El Cajon, CA",32.7947731,-116.9625269
"Plano, TX",33.0136764,-96.6925096
"Allen, TX",33.1031744,-96.6705503
"Arlington, TX",32.701938999999996,-97.10562379033699
"Dallas, TX",32.7762719,-96.7968559
"Richardson, TX",32.9481789,-96.7297206
"Irving, TX",32.8295183,-96.9442177
"Grapevine, TX",32.9337381,-97.0788754
"Lewisville, TX",33.046233,-96.994174
"Addison, TX",32.960477850000004,-96.8300673063398
"Tarrant, TX",32.7513658,-97.335696
"Carrollton, TX",32.9537349,-96.8902816
"Southlake, TX",32.9412363,-97.1341783
"Coppell, TX",32.9552598,-97.0155703
"Farmers Branch, TX",32.9265137,-96.8961151
"Newark, CA",37.5296593,-122.0402399
"Santa Clara, CA",37.2333253,-121.6846349
"Redwood City, CA",37.4863239,-122.232523
"Cupertino, CA",37.3228934,-122.0322895
"Fremont, CA",37.5482697,-121.988571
"San Jose, CA",37.3361905,-121.890583
"Menlo Park, CA",37.4519671,-122.1779927
"Palo Alto, CA",37.4443293,-122.1598465
"Mountain View, CA",37.3893889,-122.0832101
"Sunnyvale, CA",37.3688301,-122.036349
"Los Gatos, CA",37.226611,-121.9746797
"Stanford, CA",37.426540700000004,-122.17029258409187
"East Palo Alto, CA",37.4688273,-122.1410751
"Pleasanton, CA",37.6624312,-121.8746789
"Union City, CA",37.5963232,-122.0816297
"Milpitas, CA",37.4282724,-121.9066238
"Campbell, CA",37.2870626,-121.9448818
"Austin, TX",30.2711286,-97.7436995
"Round Rock, TX",30.508235,-97.6788934
"Cedar Park, TX",30.5217116,-97.827833
"Jacksonville, FL",30.3321838,-81.655651
"Fort Worth, TX",32.753177,-97.3327459
"Westlake, TX",32.991226,-97.1943701
"Columbus, OH",39.9622601,-83.0007065
"Westerville, OH",40.126139,-82.9295287
"Hilliard, OH",40.033814,-83.1596108
"Dublin, OH",40.0992294,-83.1140771
"Charlotte, NC",35.2272086,-80.8430827
"Mooresville, NC",35.5848596,-80.8100724
"Huntersville, NC",35.4108278,-80.8429304
"Fort Mill, SC",35.0073697,-80.9450759
"San Francisco, CA",37.7790262,-122.419906
"San Rafael, CA",37.9735346,-122.5310874
"San Mateo, CA",37.496904,-122.3330573
"Oakland, CA",37.8044557,-122.2713563
"Berkeley, CA",37.8753497,-122.23963364918777
"Burlingame, CA",37.5841026,-122.3660825
"Foster City, CA",37.5600336,-122.2688522
"Marin City, CA",37.868538,-122.5091404
"Daly City, CA",37.6904826,-122.47267
"South San Francisco, CA",37.6535403,-122.4168664
"Emeryville, CA",37.8314089,-122.2865266
"Novato, CA",38.1061979,-122.5681191
"Millbrae, CA",37.598958,-122.4009419
"San Ramon, CA",37.7648021,-121.9544387
"Hercules, CA",38.0171441,-122.2885808
"Alameda, CA",37.6090291,-121.899142
"Walnut Creek, CA",37.9020731,-122.0618702
"Carmel, IN",35.2707126,-111.5068727
"Indianapolis, IN",39.7685148,-86.15802978484388
"Whitestown, IN",43.126066,-75.34889414889807
"Jeffersonville, IN",38.33037655,-85.68656370377624
"Beech Grove, IN",41.3719629,-70.7228585
"Lawrence, IN",37.375191099999995,-121.99189376150571
"Redmond, WA",47.6694141,-122.1238767
"Seattle, WA",47.6038321,-122.3300624
"Issaquah, WA",47.5348778,-122.0432974
"Kent, WA",47.3826903,-122.2270272
"Bellevue, WA",47.6144219,-122.192337
"Kirkland, WA",47.6859573,-122.1920249
"Renton, WA",47.4799078,-122.2034496
"Athens, GA",33.9597677,-83.376398
"Burlingame, KS",38.7538947,-95.8349868
"Topeka, KS",39.049011,-95.677556
"Denver, CO",39.7392364,-104.9848623
"Centennial, CO",39.5895472,-104.9342173834836
"Boulder, CO",40.0149856,-105.270545
"Henderson, CO",32.182598,-95.7893178
"Englewood, CO",39.6482059,-104.9879641
"Lakewood, CO",39.624608499999994,-105.08420400222404
"Lone Tree, CO",41.4880775,-91.425994
"Louisville, CO",38.2542376,-85.759407
"Broomfield, CO",39.9203827,-105.0691464
"Aurora, CO",41.7571701,-88.3147539
"Littleton, CO",39.613321,-105.0166498
